témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
pertinemment         ==> recur : 0.0529432         experienced : 0.0529432   climatic : 0.0529432     
terreur              ==> violence : 0.285942       prevails : 0.285942       over : 0.285942          
acceptant            ==> weather : 0.0697894       too : 0.0697894           times : 0.0697894        
réunies              ==> unreserved : 0.0965211    conducive : 0.0965211     concede : 0.0965211      
retournent           ==> turned : 0.0918503        supervisory : 0.0918503   mechanism : 0.0918503    
soupçons             ==> urgency : 0.131482        tackled : 0.131482        suspicion : 0.131482     
onze                 ==> witness : 0.100003        rare : 0.100003           eleven : 0.100003        
séjournant           ==> gaining : 0.147615        study : 0.147615          lament : 0.147615        
marchandises         ==> be : 0.411136             goods : 0.407636          for : 0.16677            
médicaux             ==> producing : 0.096218      lends : 0.096218          increase : 0.096218      
²                    ==> regard : 0.0546841        close : 0.0546841         ² : 0.0546841            
créneau              ==> wednesday : 0.130892      thursday : 0.130892       present : 0.130892       
200                  ==> 200 : 0.790164            on : 0.209835             and : 5.03367e-07        
normal               ==> normal : 0.64253          be : 0.281954             to : 0.0753001           
incidence            ==> vindicated : 0.0795766    targeted : 0.0795766      picture : 0.0795766      
paix                 ==> peace : 0.999937          in : 6.25539e-05          mediterranean : 2.93593e-10
cycliques            ==> manage : 0.142857         improve : 0.142857        instrument : 0.142857    
jørgensen            ==> xxixth : 0.120982         riis : 0.120982           jørgensen : 0.120982     
intransigeance       ==> integration : 0.0718905   island : 0.0359453        unwavering : 0.0359453   
digne                ==> worrying : 0.119139       when : 0.119139           suspension : 0.119139    
0318                 ==> regarding : 0.197368      0318 : 0.197368           0057 : 0.197368          
languissent          ==> suppose : 0.0660285       languishing : 0.0660285   jails : 0.0660285        
0310                 ==> 0310 : 0.764593           langenhagen : 0.235362    a5 : 4.50969e-05         
11h30                ==> 11 : 0.264277             30 : 0.264277             m : 0.264277             
show                 ==> only : 0.114915           bulk : 0.114915           show : 0.114915          
exigences            ==> requirements : 0.531726   demands : 0.262841        if : 0.202071            
accession            ==> tiresome : 0.0665672      stages : 0.0665672        restriction : 0.0665672  
aventure             ==> satisfied : 0.155168      embark : 0.155168         anyone : 0.155168        
paragraphes          ==> paragraphs : 0.55325      we : 0.33134              are : 0.115407           
mutualiste           ==> health : 0.167014         turn : 0.0835857          reimburse : 0.0835857    
lacunes              ==> produced : 0.0923171      omissions : 0.0923171     generally : 0.0923171    
plume                ==> things : 0.107605         them : 0.107605           thanked : 0.107605       
retards              ==> struggled : 0.090887      gaps : 0.090887           unacceptable : 0.090887  
suffisamment         ==> enough : 0.636703         it : 0.157145             far : 0.0444082          
demandait            ==> asked : 0.326177          whether : 0.326177        apply : 0.325538         
espérer              ==> hope : 0.490062           can : 0.190149            which : 0.185907         
accordant            ==> processes : 0.173986      giving : 0.173986         made : 0.173986          
nationalité          ==> perfectly : 0.506498      for : 0.146592            regardless : 0.0262707   
procéder             ==> possibilities : 0.102051  highlighted : 0.102051    usable : 0.102051        
numéros              ==> take : 0.142947           regulates : 0.142947      numbers : 0.142947       
georg                ==> service : 0.0833335       when : 0.0833335          calls : 0.0833335        
gel                  ==> joint : 0.0484866         court : 0.0484866         transportable : 0.0484866
nouveau              ==> new : 0.688035            again : 0.305702          a : 0.00485928           
réitérons            ==> totally : 0.125396        repeat : 0.125396         moreover : 0.125396      
régional             ==> regional : 0.503993       i : 0.398915              e : 0.0804703            
segni                ==> suggested : 0.0541174     subjects : 0.0541174      language : 0.0541174     
adressant            ==> unfamiliar : 0.135632     keen : 0.135632           adopt : 0.135632         
prononcé             ==> prison : 0.0721284        press : 0.0721284         passports : 0.0721284    
modernisatrice       ==> process : 0.179823        want : 0.0899114          modernisation : 0.0899114
relative             ==> on : 0.415716             a : 0.304538              laws : 0.213238          
humanitaires         ==> pseudo : 0.149155         view : 0.0916251          speaking : 0.0745774     
revoir               ==> our : 0.12732             reason : 0.12732          present : 0.12732        
entretient           ==> me : 0.153844             warmly : 0.076922         preparing : 0.076922     
